Code;Population;
SK0217506842;2585;
SK0217506851;2388;
SK0217506869;663;
SK0217506877;4724;
SK0217506893;1754;
SK0217506915;790;
SK0217506923;2455;
SK0217506931;761;
SK0217506940;1411;
SK0217507041;492;
SK0217507059;358;
SK0217507067;1949;
SK0217507156;2389;
SK0217507164;1149;
SK0217507211;846;
SK0217507296;2210;
SK0217507318;1560;
SK0217507351;395;
SK0217507512;1734;
SK0217507555;3262;
SK0217507571;2281;
SK0217507601;3377;
SK0217507636;2220;
SK0217507687;1375;
SK0217507741;1718;
SK0217507768;2492;
SK0217507776;2632;
SK0217556483;1766;
SK0217556491;1290;
SK0217556513;1376;
SK0217556556;539;
SK0217556564;546;
SK0217556599;426;
SK0217556653;403;
SK0217556661;803;
SK0217556670;911;
SK0217556688;614;
SK0217580473;2511;
SK0217581020;2244;
SK0217581488;1005;
SK0221505056;180;
SK0221505072;400;
SK0221505102;400;
SK0221505153;294;
SK0221505200;438;
SK0221505277;40;
SK0221505331;539;
SK0221505358;959;
SK0221505382;359;
SK0221505412;637;
SK0221505447;511;
SK0221505455;1526;
SK0221505471;461;
SK0221505480;204;
SK0221505544;148;
SK0221505552;484;
SK0221505579;485;
SK0221505595;36;
SK0221505625;1522;
SK0221505633;42;
SK0221505684;541;
SK0221505692;499;
SK0221505765;108;
SK0221505790;688;
SK0221505811;442;
SK0221542652;16614;
SK0221542741;510;
SK0221542776;106;
SK0221542806;112;
SK0221542822;1101;
SK0221542849;598;
SK0221542857;123;
SK0221542873;489;
SK0221542890;360;
SK0221542920;523;
SK0221543080;484;
SK0221543136;482;
SK0221545651;664;
SK0221556289;387;
SK0221556360;142;
SK0221556408;226;
SK0221556742;269;
SK0221556793;267;
SK0222512885;1555;
SK0222512931;642;
SK0222513016;22023;
SK0222513024;902;
SK0222513091;1109;
SK0222513156;5568;
SK0222513253;2788;
SK0222513296;2483;
SK0222513351;1047;
SK0222513385;1037;
SK0222513440;10470;
SK0222513598;2306;
SK0222513725;847;
SK0222513865;568;
SK0222557391;741;
SK0222557404;551;
SK0222557412;427;
SK0222557421;854;
SK0222557617;218;
SK0222557625;222;
SK0222582301;771;
SK0223504254;980;
SK0223504262;4657;
SK0223504289;421;
SK0223504408;336;
SK0223504424;465;
SK0223504467;419;
SK0223504581;10705;
SK0223504661;403;
SK0223504688;701;
SK0223504696;357;
SK0223504793;839;
SK0223504866;747;
SK0223504971;1413;
SK0223506079;478;
SK0223506141;622;
SK0223506150;1401;
SK0223506419;249;
SK0224505846;1473;
SK0224505871;1344;
SK0224505889;611;
SK0224505897;2018;
SK0224505901;3653;
SK0224505919;1685;
SK0224505951;987;
SK0224505994;783;
SK0224506001;1404;
SK0224506052;766;
SK0224506061;654;
SK0224506109;1007;
SK0224506125;1735;
SK0224506184;1461;
SK0224506206;721;
SK0224506249;473;
SK0224506257;204;
SK0224506265;2501;
SK0224506303;1023;
SK0224506311;199;
SK0224506338;19355;
SK0224506346;475;
SK0224506401;1138;
SK0224506427;1896;
SK0224506435;710;
SK0224506443;1245;
SK0224506516;169;
SK0224506524;8486;
SK0224506583;947;
SK0224506630;714;
SK0224506672;168;
SK0224556424;81;
SK0224556441;764;
SK0224556459;557;
SK0225505129;519;
SK0225505170;591;
SK0225505196;619;
SK0225505307;786;
SK0225505315;20871;
SK0225505323;503;
SK0225505463;1327;
SK0225505706;598;
SK0225505722;1993;
SK0225505731;862;
SK0225505803;1709;
SK0225542733;4000;
SK0225542962;1001;
SK0225543004;2680;
SK0225543047;1590;
SK0225543055;882;
SK0225556173;117;
SK0225556190;276;
SK0225556246;525;
